ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
EIKN,"Eikon Therapeutics, .",0001861123,"Eikon Therapeutics, Inc.",2026-05-11,10-Q,161.15,351.03,83.83,596.01,,-89.8,-82.96,70.05,17.29,89.8,29.93,19.9,54138628.0,11.01,True,True,2026-01-30,EFFECT,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:1;3:14;4:13;424B4:1;8-A12B:1;8-K:5;CERT:1;DRS/A:3;EFFECT:1;S-1:1;S-1/A:1;S-1MEF:1;S-8:1;SCHEDULE 13D:1;SCHEDULE 13G:6,2026-06-26T07:21:15+00:00
EIX,Edison International,0000827052,EDISON INTERNATIONAL,2026-04-28,10-Q,168.0,4.0,2.0,174.0,41549.0,1427.0,531.0,,,,,,384793941.0,0.45,True,True,2026-05-01,424B2,6,HIGH,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:3;11-K:2;144:2;3:1;4:52;424B2:4;8-K:18;ARS:1;CORRESP:1;DEF 14A:1;FWP:2;SC TO-I:1;SC TO-I/A:2;SCHEDULE 13G:3;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:21:17+00:00
ELDN,"Eledon Pharmaceuticals, .",0001404281,"Eledon Pharmaceuticals, Inc.",2026-05-13,10-Q,6.15,104.94,,111.09,,-22.61,-39.02,17.2,3.98,22.61,7.54,14.7,77187823.0,1.44,True,True,2026-05-11,EFFECT,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;10-Q/A:1;4:6;424B5:2;8-K:9;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;PRE 14A:1;S-3:1;SCHEDULE 13G:4;SCHEDULE 13G/A:5;UPLOAD:1,2026-06-26T07:21:18+00:00
ELOX,"Eloxx Pharmaceuticals, .",0001035354,"Eloxx Pharmaceuticals, Inc.",2026-05-05,10-Q,6.36,,,6.36,0.0,-5.45,-3.75,4.07,2.14,5.45,1.82,3.5,7573935.0,0.84,True,True,2026-06-08,EFFECT,2,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:1;3:5;4:11;424B4:1;8-A12B:1;8-K:3;CERT:1;DEF 14C:1;DRS:1;EFFECT:1;NT 10-Q:1;PRE 14C:1;S-1:1;S-1/A:2;SCHEDULE 13G:7;SCHEDULE 13G/A:2,2026-06-26T07:21:21+00:00
ELTX,"Elicio Therapeutics, .",0001601485,"Elicio Therapeutics, Inc.",2026-05-11,10-Q,14.95,,,14.95,9.47,-11.64,-11.82,6.76,3.85,11.64,3.88,3.9,19086081.0,0.78,True,True,2026-03-16,EFFECT,5,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtNoncurrent,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-K/A:1;10-Q:3;4:5;424B5:1;8-K:11;CORRESP:2;EFFECT:2;S-3:2;S-3/A:2;S-8:1;SCHEDULE 13G/A:1;UPLOAD:1,2026-06-26T07:21:22+00:00
ELVN,"Enliven Therapeutics, .",0001672619,"Enliven Therapeutics, Inc.",2026-05-07,10-Q,132.18,320.22,,452.4,,-19.29,-23.63,20.69,7.14,19.29,6.43,70.4,60904946.0,7.43,True,True,2026-06-12,424B5,2,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:49;3:2;4:60;4/A:1;424B5:2;8-K:9;8-K/A:1;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;S-3ASR:1;S-8:2;SCHEDULE 13D/A:2;SCHEDULE 13G:2;SCHEDULE 13G/A:12,2026-06-26T07:21:23+00:00
ENGN,enGene Therapeutics .,0001980845,enGene Therapeutics Inc.,2026-06-15,10-Q,29.83,228.64,26.71,285.17,,-28.9,-30.23,22.2,9.77,28.9,9.63,29.6,66989466.0,4.26,True,True,2026-03-09,424B5,5,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;3:6;4:22;424B5:3;8-K:16;8-K/A:2;ARS:1;CORRESP:1;DEF 14A:1;EFFECT:1;S-3:1;S-8:2;SCHEDULE 13G:5;SCHEDULE 13G/A:6;UPLOAD:1,2026-06-26T07:21:24+00:00
ENSC,"Ensysce Biosciences, .",0001716947,"Ensysce Biosciences, Inc.",2026-05-15,10-Q,0.75,,,0.75,,-3.5,-3.56,3.35,1.18,3.5,1.17,0.6,14694492.0,0.05,True,True,2026-06-04,S-3,6,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;424B5:1;8-K:12;ARS:1;CORRESP:2;DEF 14A:1;DEFA14A:1;EFFECT:2;PRE 14A:1;S-3:3;S-8:1;SCHEDULE 13G/A:1;UPLOAD:1,2026-06-26T07:21:25+00:00
ENTA,"Enanta Pharmaceuticals, .",0001177648,ENANTA PHARMACEUTICALS INC,2026-05-13,10-Q,34.93,424.43,85.51,544.86,,-11.7,-13.09,19.44,9.57,11.7,3.9,139.7,29078380.0,18.74,True,True,2026-02-20,EFFECT,4,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent,AvailableForSaleSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:1;3:2;4:34;424B5:2;8-K:13;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:5;UPLOAD:1,2026-06-26T07:21:27+00:00
ENVA,"Enova International, .",0001529864,"Enova International, Inc.",2026-04-23,10-Q,96.13,,,96.13,494.35,474.54,91.1,,47.78,47.78,15.93,6.0,24884896.0,3.86,True,True,2025-12-31,EFFECT,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:29;144/A:1;3:1;4:65;4/A:4;424B3:1;425:6;8-K:17;8-K/A:1;ABS-15G:1;ARS:1;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-4:1;S-4/A:1;SCHEDULE 13G/A:3,2026-06-26T07:21:28+00:00
ENVB,"Enveric Biosciences, .",0000890821,"Enveric Biosciences, Inc.",2026-05-15,10-Q,4.91,0.08,,4.99,1.01,-2.26,-1.63,0.35,1.25,2.26,0.75,6.6,3681884.0,1.36,True,True,2026-06-09,424B5,15,HIGH,GOOD,"cash_tag=Cash | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:15;424B3:4;424B5:3;8-K:20;ARS:1;CORRESP:3;D:4;DEF 14A:2;DEFA14A:2;EFFECT:4;PRE 14A:2;S-1:1;S-3:3;S-3/A:1;S-8:2;SCHEDULE 13G:8;SCHEDULE 13G/A:4;UPLOAD:3,2026-06-26T07:21:30+00:00
EPRX,Eupraxia Pharmaceuticals .,0001581178,EUPRAXIA PHARMACEUTICALS INC.,2026-03-13,40-F,80.56,,,80.56,,,,,,,,,35641603.0,2.26,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_missing,40-F:1;6-K:32;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:2;SCHEDULE 13G/A:3;SUPPL:4,2026-06-26T07:21:31+00:00
