ticker,company_name,cik,sec_title,latest_periodic_date,latest_periodic_form,cash,short_term_investments,marketable_securities_noncurrent,cash_and_investments,total_debt,operating_cf_quarter,net_loss_quarter,rd_expense_quarter,gna_expense_quarter,quarterly_burn,monthly_burn,cash_runway_months,shares_outstanding,cash_per_share,recent_offering_180d,recent_offering_365d,latest_offering_date,latest_offering_form,offering_forms_365d_count,dilution_risk,sec_data_quality,data_notes,forms_365d,generated_at
LII,"Lennox International, .",0001069202,LENNOX INTERNATIONAL INC,2026-04-29,10-Q,48.2,2.0,,50.2,18.3,16.1,117.2,,,,,,34799968.0,1.44,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:3;144:12;4:50;8-K:6;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;SCHEDULE 13G:3;SCHEDULE 13G/A:1;SD:1,2026-06-26T07:24:01+00:00
LIMN,"Liminatus Pharma, .",0001971387,"Liminatus Pharma, Inc.",2026-05-15,10-Q,1.91,,,1.91,1.44,-2.02,-1.12,0.4,0.7,2.02,0.67,2.8,44877633.0,0.04,True,True,2026-06-24,S-1,6,HIGH,GOOD,cash_tag=Cash | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:4;424B3:2;424B4:1;8-K:13;CORRESP:4;D:1;DRS:1;EFFECT:2;NT 10-Q:1;S-1:2;S-1/A:1;SCHEDULE 13G:5;UPLOAD:2,2026-06-26T07:24:02+00:00
LIQT,"LiqTech International, .",0001307579,LIQTECH INTERNATIONAL INC,2026-05-13,10-Q,2.73,,,2.73,3.96,-1.94,-2.71,0.28,1.41,1.94,0.65,4.2,9947841.0,0.27,True,True,2026-06-01,EFFECT,2,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;3:1;4:4;424B4:1;8-K:4;DRS:1;EFFECT:1;S-1:1;S-1/A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:1,2026-06-26T07:24:03+00:00
LIXT,"Lixte Biotechnology , .",0001335105,"LIXTE BIOTECHNOLOGY HOLDINGS, INC.",2026-05-14,10-Q,3.25,,,3.25,,-1.83,-1.99,0.33,1.65,1.83,0.61,5.3,12382944.0,0.26,True,True,2026-06-04,424B5,4,HIGH,GOOD,cash_tag=Cash | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;25-NSE/A:1;3:6;4:17;424B5:3;8-K:22;CORRESP:3;DEF 14A:1;DEFA14A:1;EFFECT:1;PRE 14A:1;S-1/A:1;SCHEDULE 13G:1;UPLOAD:2,2026-06-26T07:24:05+00:00
LKFT,Lakefront Biotherapeutics,0001421876,Lakefront Biotherapeutics NV,2026-03-26,20-F,,,,,,,,,,,,,65897071.0,,True,True,2026-05-08,424B3,1,HIGH,LOW,cash_missing | burn_missing,20-F:1;424B3:1;6-K:36;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:2,2026-06-26T07:24:06+00:00
LOGI,Logitech International S.A. - Registered Shares,0001032975,LOGITECH INTERNATIONAL S.A.,2026-05-21,10-K,1741.55,6.79,,1748.34,,125.05,251.04,78.45,41.92,120.37,40.12,43.6,143535585.0,12.18,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:3;4:33;4/A:2;8-K:9;ARS:1;DEF 14A:1;DEFA14A:2;PRE 14A:1;SD:1,2026-06-26T07:24:07+00:00
LRMR,"Larimar Therapeutics, .",0001374690,"Larimar Therapeutics, Inc.",2026-05-14,10-Q,177.91,,,177.91,,-44.61,-29.61,25.03,6.09,44.61,14.87,12.0,103882937.0,1.71,True,True,2026-02-26,424B5,4,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:15;424B5:4;8-K:16;ARS:1;DEF 14A:1;PRE 14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:6,2026-06-26T07:24:09+00:00
LSTA,"Lisata Therapeutics, .",0000320017,"LISATA THERAPEUTICS, INC.",2026-05-11,10-Q,13.06,25.92,0.0,38.98,0.0,-3.08,-4.49,3.24,3.74,3.08,1.03,37.9,9106391.0,4.28,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-K/A:1;10-Q:3;4:9;8-K:16;S-8:1;SC 14D9:1;SC TO-C:3;SC TO-T:1;SC14D9C:9,2026-06-26T07:24:11+00:00
LTRN,Lantern Pharma .,0001763950,Lantern Pharma Inc.,2026-05-15,10-Q,4.92,1.41,13.15,19.48,,-3.77,-3.33,1.72,1.68,3.77,1.26,15.5,11304697.0,1.72,True,True,2026-06-18,EFFECT,5,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;3:1;4:16;424B5:3;8-K:11;ARS:1;D:1;DEF 14A:1;EFFECT:1;PRE 14A:1;S-1:1;SCHEDULE 13D/A:3;SCHEDULE 13G:1,2026-06-26T07:24:12+00:00
LXEO,"Lexeo Therapeutics, .",0001907108,"Lexeo Therapeutics, Inc.",2026-05-11,10-Q,71.77,70.92,,142.69,,-21.14,-20.2,15.7,6.63,21.14,7.05,20.2,78521634.0,1.82,False,True,2025-11-26,EFFECT,9,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:24;3:3;4:36;4/A:2;424B3:2;424B5:2;8-K:12;ARS:1;CORRESP:3;DEF 14A:1;DEFA14A:1;EFFECT:2;FWP:2;S-3:1;S-3/A:1;S-8:2;SCHEDULE 13G:7;SCHEDULE 13G/A:19,2026-06-26T07:24:13+00:00
LXRX,"Lexicon Pharmaceuticals, .",0001062822,"LEXICON PHARMACEUTICALS, INC.",2026-05-07,10-Q,38.09,150.9,,188.99,49.68,-14.73,-1.04,12.76,12.26,14.73,4.91,38.5,444196390.0,0.43,True,True,2026-02-06,FWP,6,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments,AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:1;4:37;424B5:3;8-K:12;ARS:1;D:1;DEF 14A:1;DEFA14A:1;FWP:3;PRE 14A:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G/A:1,2026-06-26T07:24:15+00:00
LYEL,"Lyell Immunopharma, .",0001806952,"Lyell Immunopharma, Inc.",2026-05-06,10-Q,90.77,163.25,6.95,260.98,,-38.51,-24.15,36.6,9.55,38.51,12.84,20.3,23334087.0,11.18,True,True,2026-04-14,EFFECT,10,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:4;4:42;424B5:2;8-K:13;ARS:1;CORRESP:4;DEF 14A:1;DEFA14A:1;EFFECT:4;S-3:4;S-8:1;SCHEDULE 13G:4;SCHEDULE 13G/A:7;UPLOAD:3,2026-06-26T07:24:16+00:00
MAGH,Magnitude International,0002046117,Magnitude International Ltd,2025-09-15,20-F,,,,,,,,,,,,,33350000.0,,False,True,2025-07-30,EFFECT,1,MEDIUM,LOW,cash_missing | burn_missing,20-F:1;20-F/A:1;424B4:1;6-K:3;8-A12B:1;CERT:1;CORRESP:2;EFFECT:1;F-1/A:2;NT 20-F:1,2026-06-26T07:24:16+00:00
MAIA,"MAIA Biotechnology, .",0001878313,"MAIA Biotechnology, Inc.",2026-05-11,10-Q,0.0,,,0.0,,-5.31,-6.37,0.04,3.42,5.31,1.77,,60800758.0,,True,True,2026-05-14,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:46;4/A:2;424B5:3;8-K:33;ARS:1;D:2;DEF 14A:1;DEFA14A:3;S-8:1;SCHEDULE 13D/A:1;SCHEDULE 13G:1,2026-06-26T07:24:17+00:00
MAR,Marriott International,0001048286,MARRIOTT INTERNATIONAL INC /MD/,2026-05-06,10-Q,454.0,,,454.0,2527.0,858.0,648.0,,219.0,219.0,73.0,6.2,263688623.0,1.72,True,True,2026-02-19,424B5,6,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;11-K:2;144:24;3:3;4:81;4/A:1;424B5:4;8-K:10;ARS:1;DEF 14A:1;DEFA14A:1;FWP:2;SCHEDULE 13D/A:1;SCHEDULE 13G:1;SCHEDULE 13G/A:1,2026-06-26T07:24:19+00:00
MATW,Matthews International,0000063296,MATTHEWS INTERNATIONAL CORP,2026-05-01,10-Q,36.09,1.39,,37.48,584.45,-51.99,-21.83,,72.41,51.99,17.33,2.2,31202438.0,1.2,False,False,,,0,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:2;4:35;4/A:1;8-K:19;8-K/A:1;DEF 14A:1;DEFA14A:2;PREC14A:2;PRER14A:1;S-8:1;SCHEDULE 13G:2;SCHEDULE 13G/A:3;SD:1,2026-06-26T07:24:21+00:00
MAZE,"Maze Therapeutics, .",0001842295,"Maze Therapeutics, Inc.",2026-05-12,10-Q,198.77,153.62,10.56,362.94,38.83,-39.11,-24.21,34.15,12.4,39.11,13.04,27.8,55345261.0,6.56,True,True,2026-05-13,EFFECT,5,MEDIUM,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;144:12;3:3;4:59;424B3:1;424B5:1;8-K:11;ARS:1;DEF 14A:1;DEFA14A:1;EFFECT:1;POS AM:1;S-1:1;S-3ASR:1;S-8:1;SCHEDULE 13G:1;SCHEDULE 13G/A:10,2026-06-26T07:24:22+00:00
MBRX,"Moleculin Biotech, .",0001659617,"Moleculin Biotech, Inc.",2026-05-14,10-Q,10.32,,,10.32,,-6.11,-12.85,5.38,2.49,6.11,2.04,5.1,5336350.0,1.93,True,True,2026-04-14,EFFECT,10,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;4:14;424B3:2;424B5:2;8-K:53;CORRESP:3;DEF 14A:4;DEFA14A:1;EFFECT:3;PRE 14A:4;PRER14A:1;S-3:3;S-8:1;SCHEDULE 13G/A:1;UPLOAD:3,2026-06-26T07:24:23+00:00
MBX,"MBX Biosciences, .",0001776111,"MBX Biosciences, Inc.",2026-05-07,10-Q,45.21,394.76,,439.98,,-20.21,-23.52,18.47,8.79,20.21,6.74,65.3,47597536.0,9.24,False,True,2025-12-08,EFFECT,4,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=MarketableSecuritiesCurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:14;3:2;4:23;4/A:2;424B4:1;8-K:15;ARS:1;CORRESP:3;DEF 14A:1;DEFA14A:2;DRS:1;EFFECT:2;S-1:1;S-1MEF:1;S-3:1;S-3ASR:1;S-8:1;SCHEDULE 13D/A:6;SCHEDULE 13G:3;SCHEDULE 13G/A:7;UPLOAD:1,2026-06-26T07:24:24+00:00
MCRB,"Seres Therapeutics, .",0001609809,"Seres Therapeutics, Inc.",2026-05-05,10-Q,29.83,0.0,,29.83,,-16.36,-19.91,13.2,8.07,16.36,5.45,5.5,9586298.0,3.11,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:2;3:2;4:27;8-K:10;DEF 14A:1;DEFA14A:1;SCHEDULE 13G/A:1,2026-06-26T07:24:26+00:00
MCY,Mercury General,0000064996,MERCURY GENERAL CORP,2026-05-05,10-Q,1350.88,375.61,,1726.49,,325.6,190.42,,,,,,55388627.0,31.17,True,True,2026-06-10,424B5,3,HIGH,PARTIAL_CASH_ONLY,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing,10-K:1;10-Q:3;3:2;4:31;424B5:2;8-A12B:1;8-K:8;ARS:1;CERT:1;DEF 14A:1;DEFA14A:1;FWP:1;S-3ASR:1;SCHEDULE 13G/A:1,2026-06-26T07:24:27+00:00
MDCX,Medicus Pharma .,0001997296,Medicus Pharma Ltd.,2026-05-14,10-Q,6.37,,,6.37,,-8.97,-9.04,2.7,5.89,8.97,2.99,2.1,56658164.0,0.11,True,True,2026-06-04,424B3,84,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;253G2:15;3:3;3/A:1;4:51;424B3:67;424B5:1;8-K:18;8-K/A:1;ARS:2;CORRESP:2;DEF 14A:2;DRS:4;EFFECT:8;POS AM:3;PRE 14A:1;S-1:3;S-3:2;S-8:1;SCHEDULE 13G/A:5;UPLOAD:2,2026-06-26T07:24:28+00:00
MDGL,"Madrigal Pharmaceuticals, .",0001157601,"MADRIGAL PHARMACEUTICALS, INC.",2026-05-06,10-Q,227.03,144.7,,371.73,340.33,-167.44,-94.39,,46.54,167.44,55.81,6.7,23055659.0,16.12,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=AvailableForSaleSecuritiesCurrent | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:44;3:2;4:49;8-K:10;ARS:1;DEF 14A:1;DEFA14A:1;S-8:2;SCHEDULE 13D/A:2;SCHEDULE 13G/A:7,2026-06-26T07:24:30+00:00
MDLZ,"Mondelez International, .",0001103982,"Mondelez International, Inc.",2026-04-28,10-Q,1631.0,,,1631.0,29630.0,467.0,560.0,,,,,,1283649766.0,1.27,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:3;144:1;4:24;8-K:8;ARS:1;DEF 14A:1;DEFA14A:2;S-3ASR:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:3,2026-06-26T07:24:31+00:00
MENS,Jyong Biotech .,0001954488,Jyong Biotech Ltd.,2026-05-15,20-F,1.18,,,1.18,15.34,,,,,,,,76027667.0,0.02,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,cash_tag=CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents | debt_tags=ShortTermBorrowings | burn_missing,20-F:1;3:7;6-K:2;NT 20-F:1;SCHEDULE 13D:1;SP 15D2:1,2026-06-26T07:24:32+00:00
MERC,Mercer International .,0001333274,MERCER INTERNATIONAL INC.,2026-05-07,10-Q,84.54,,,84.54,1603.93,-85.67,-52.0,,,85.67,28.56,3.0,66982506.0,1.26,False,True,2025-08-22,EFFECT,2,HIGH,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;4:29;8-K:7;CORRESP:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;SCHEDULE 13D/A:3;SCHEDULE 13G:2;SCHEDULE 13G/A:2;UPLOAD:1,2026-06-26T07:24:34+00:00
MFI,mF International,0001940941,mF International Ltd,2025-04-23,20-F,2.53,,,2.53,1.3,,,,,,,,4204775.0,0.6,False,True,2025-09-12,F-3,1,MEDIUM,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_missing",3:2;424B7:1;6-K:10;F-3:1;F-3/A:2;F-3ASR:1;NT 20-F:1,2026-06-26T07:24:34+00:00
MGA,"Magna International, .",0000749098,MAGNA INTERNATIONAL INC,2026-03-27,40-F,1612.0,,,1612.0,4712.0,,,,,,,,280242006.0,5.75,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,ShortTermBorrowings,LongTermDebtNoncurrent | burn_missing",11-K:1;144:13;40-F:1;6-K:16;S-8:1;SCHEDULE 13G:1;SD:2,2026-06-26T07:24:36+00:00
MGIH,Millennium Group International,0001903995,Millennium Group International Holdings Ltd,2025-10-28,20-F,10.69,,,10.69,6.11,,,,,,,,11250000.0,0.95,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ShortTermBorrowings | burn_missing,20-F:1;3:6;6-K:5,2026-06-26T07:24:36+00:00
MGX,"Metagenomi Therapeutics, .",0001785279,"Metagenomi Therapeutics, Inc.",2026-05-11,10-Q,25.31,,,25.31,,-21.18,-23.06,19.3,6.54,21.18,7.06,3.6,37646858.0,0.67,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:2;3:1;4:22;8-K:7;ARS:1;DEF 14A:1;DEFA14A:1;S-8:1,2026-06-26T07:24:37+00:00
MIAX,"Miami International , .",0001438472,"MIAMI INTERNATIONAL HOLDINGS, INC.",2026-05-08,10-Q,550.79,,,550.79,1.51,60.87,170.22,,,,,,94907086.0,5.8,False,True,2025-12-12,POS AM,5,MEDIUM,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities | burn_missing",10-K:1;10-Q:2;144:17;3:26;4:116;4/A:3;424B4:2;8-A12B:1;8-K:18;ARS:1;CERT:1;CORRESP:2;DEF 14A:1;DEFA14A:1;DRS:1;EFFECT:2;POS AM:1;S-1:2;S-1/A:1;S-8:2;SCHEDULE 13D:2;SCHEDULE 13D/A:5,2026-06-26T07:24:38+00:00
MIRA,"MIRA Pharmaceuticals, .",0001904286,"MIRA PHARMACEUTICALS, INC.",2026-05-14,10-Q,4.82,4.59,,9.41,,-1.2,-1.15,0.52,0.58,1.2,0.4,23.5,42022087.0,0.22,False,True,2025-12-05,424B5,1,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;3:2;4:9;424B5:1;5:1;8-K:27;DEFA14A:1;DEFM14A:1;PRER14A:1,2026-06-26T07:24:39+00:00
MIRM,"Mirum Pharmaceuticals, .",0001759425,"Mirum Pharmaceuticals, Inc.",2026-05-06,10-Q,324.91,61.35,,386.26,,-228.76,-790.15,12.16,17.35,228.76,76.25,5.1,60981227.0,6.33,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:32;4:61;8-K:14;8-K/A:1;ARS:1;D:1;DEF 14A:1;DEFA14A:1;S-3ASR:2;S-8:2;SCHEDULE 13D/A:3;SCHEDULE 13G/A:8,2026-06-26T07:24:40+00:00
MIST,Milestone Pharmaceuticals .,0001408443,Milestone Pharmaceuticals Inc.,2026-05-13,10-Q,71.32,112.9,,184.22,,-16.05,-26.07,3.25,4.82,16.05,5.35,34.4,124497980.0,1.48,True,True,2026-05-22,EFFECT,4,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:3;3:1;4:27;4/A:5;424B5:2;8-K:11;ARS:1;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:5,2026-06-26T07:24:41+00:00
MLTX,MoonLake Immunotherapeutics,0001821586,MoonLake Immunotherapeutics,2026-05-11,10-Q,298.49,,,298.49,0.0,-66.29,-69.71,54.52,15.51,66.29,22.1,13.5,73615396.0,4.05,True,True,2026-06-24,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ShortTermBorrowings | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:7;4:25;424B5:3;8-K:11;ARS:1;DEF 14A:1;DEFA14A:1;SCHEDULE 13D/A:2;SCHEDULE 13G:3;SCHEDULE 13G/A:5,2026-06-26T07:24:42+00:00
MLYS,"Mineralys Therapeutics, .",0001933414,"Mineralys Therapeutics, Inc.",2026-05-06,10-Q,112.78,,0.0,112.78,,-39.47,-39.34,24.36,20.98,39.47,13.16,8.6,82498101.0,1.37,True,True,2026-06-03,424B5,3,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:48;3:1;4:51;424B5:3;8-K:11;ARS:1;DEF 14A:1;DEFA14A:1;S-3ASR:1;S-3MEF:1;S-8:1;SCHEDULE 13D/A:2;SCHEDULE 13G:2;SCHEDULE 13G/A:3,2026-06-26T07:24:43+00:00
MNPR,Monopar Therapeutics .,0001645469,Monopar Therapeutics,2026-05-14,10-Q,52.54,,,52.54,,-3.47,-3.89,3.49,1.74,3.47,1.16,45.4,6699062.0,7.84,False,True,2025-09-24,424B5,3,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-K/A:1;10-Q:3;144:4;3:1;4:27;424B5:1;8-K:12;ARS:1;CORRESP:2;DEF 14A:1;DEFA14A:1;EFFECT:1;S-3:1;SCHEDULE 13D/A:2;SCHEDULE 13G:1;SCHEDULE 13G/A:6;UPLOAD:3,2026-06-26T07:24:44+00:00
MOLN,Molecular Partners,0001745114,MOLECULAR PARTNERS AG,2026-03-12,20-F,,,,,,,,,,,,,40374641.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,20-F:1;6-K:13;S-8:1;SCHEDULE 13G:1,2026-06-26T07:24:45+00:00
MPLT,"MapLight Therapeutics, .",0001770069,"MapLight Therapeutics, Inc.",2026-05-14,10-Q,55.71,254.41,,310.11,,-51.18,-60.67,53.68,10.82,51.18,17.06,18.2,42436326.0,7.31,False,True,2025-10-27,424B3,4,MEDIUM,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | st_invest_tags=ShortTermInvestments | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:2;144:26;144/A:4;3:17;3/A:1;4:59;424B3:1;8-A12B:1;8-K:9;ARS:1;CERT:1;D:1;DEF 14A:1;DEFA14A:1;DRS/A:2;DRSLTR:1;FWP:2;S-1:1;S-1/A:1;S-8:2;SCHEDULE 13D:2;SCHEDULE 13G:2;SCHEDULE 13G/A:1;UPLOAD:1,2026-06-26T07:24:46+00:00
MREO,Mereo BioPharma Group,0001719714,Mereo BioPharma Group plc,2026-05-12,10-Q,36.22,,,36.22,,-4.31,-6.72,4.75,4.02,4.31,1.44,25.2,798093044.0,0.05,False,False,,,0,LOW,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;4:13;8-K:10;8-K/A:1;ARS:1;DEF 14A:1;PRE 14A:1;S-8:1;SCHEDULE 13G:3;SCHEDULE 13G/A:8,2026-06-26T07:24:47+00:00
MRKR,"Marker Therapeutics, .",0001094038,"Marker Therapeutics, Inc.",2026-05-15,10-Q,14.92,,,14.92,0.12,-1.4,-3.18,2.84,1.23,1.4,0.47,31.9,16673127.0,0.89,False,False,,,0,LOW,GOOD,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=ShortTermBorrowings,ConvertibleNotesPayable | burn_from=NetCashProvidedByUsedInOperatingActivities",10-K:1;10-Q:3;3:1;4:5;424B7:1;8-K:8;ARS:1;DEF 14A:1;DEFA14A:1;PRE 14A:1;SCHEDULE 13D/A:4;SCHEDULE 13G/A:1,2026-06-26T07:24:49+00:00
MRNA,"Moderna, .",0001682852,"Moderna, Inc.",2026-05-01,10-Q,1908.0,,,1908.0,590.0,-630.0,-1343.0,649.0,173.0,630.0,210.0,9.1,396786259.0,4.81,False,False,,,0,HIGH,GOOD,cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtNoncurrent | burn_from=NetCashProvidedByUsedInOperatingActivities,10-K:1;10-Q:3;144:11;4:56;8-K:12;ARS:1;DEF 14A:2;DEFA14A:2;PRE 14A:1;S-8:1;SC TO-C:5;SC TO-I:1;SC TO-I/A:2;SCHEDULE 13G:2;SCHEDULE 13G/A:4,2026-06-26T07:24:50+00:00
MSC,Studio City International,0001713334,STUDIO CITY INTERNATIONAL HOLDINGS Ltd,2026-03-13,20-F,109.4,,,109.4,2024.57,,,,,,,,,,False,False,,,0,UNKNOWN,PARTIAL_CASH_ONLY,"cash_tag=CashAndCashEquivalentsAtCarryingValue | debt_tags=LongTermDebtCurrent,LongTermDebtNoncurrent | burn_missing",20-F:1;3:14;6-K:20,2026-06-26T07:24:51+00:00
MSLE,Satellos Bioscience .,0001421642,Satellos Bioscience Inc.,2026-03-27,40-F,,,,,,,,,,,,,15458903.0,,False,False,,,0,UNKNOWN,LOW,cash_missing | burn_missing,40-F:1;6-K:17;8-A12B:1;CERT:1;F-10:1;F-X:1;S-8:1;SCHEDULE 13G:2;SUPPL:1,2026-06-26T07:24:52+00:00
